,Company,Industry,Country,Market Value,Sales,Profits,Assets,Rank,Profits as % of Assets,Profits as % of Sales,description
1039,Novatek,Oil & Gas Operations,Russia,17.04,2.6,0.75,4.58,1040,0.163755458515284,0.288461538461538,"Novatek (Russian: ОАО «НОВАТЭК», MCX: NVTK, LSE: NVTK) is Russia's second-largest natural gas producer, and the seventh-largest publicly traded company globally by natural gas production volume. The company was originally known as OAO FIK Novafininvest.  Novatek is based in the Yamalo-Nenets Autonomous Region in West Siberia, and maintains a sales office in Moscow. In the 2020 Forbes Global 2000, Novatek was ranked as the 316th-largest public company in the world.The company is not to be confused with Novatek Inc, a US company that produces synthetic diamonds for the oil and gas industry, or Novatek Microelectronics Corp., a supplier of display controller integrated circuits, or Novatek AS, a Norwegian engineering company."
1040,CIT Group,Diversified Financials,United States,7.31,3.98,,60.03,1041,,,"CIT Group Inc. (CIT) is a financial holding company and bank holding company incorporated in Delaware and headquartered in New York City. CIT Bank, CIT's banking subsidiary, is headquartered in Pasadena, California. The company's name is an initialism of an early corporate name, Commercial Investment Trust.
CIT provides financing, leasing, and advisory services principally to middle-market companies and small businesses in a wide variety of industries, primarily in North America. CIT also provides banking and related services to commercial and individual customers through its banking subsidiary, CIT Bank, which includes over 60 branches located in Southern California and a direct bank.
As of 2020, the company is ranked 732th on the Fortune 1000 list of the largest American companies and is  on the list of largest banks in the United States.CIT filed for bankruptcy protection on November 1, 2009, and with the consent of its bondholders, emerged from bankruptcy 38 days later, on December 10, 2009. In August 2015, CIT Group acquired OneWest Bank, a regional bank based in Southern California.On October 16, 2020, First Citizens BancShares announced the pending acquisition of CIT Group.

"
1041,Bankinter,Banking,Spain,3.84,3.04,0.35,78.06,1042,0.0044837304637458395,0.115131578947368,"Bankinter, S.A. (Spanish pronunciation: [baŋˈkinteɾ]), is a Spanish financial services company headquartered in Madrid. It has been listed on the Bolsa de Madrid (Madrid stock exchange) since 1972, and is part of the Ibex35 Index. It was founded in 1965 as an industrial bank through a joint venture between Banco Santander and Bank of America.

"
1042,Advanced Micro,Semiconductors,United States,5.52,5.4,0.38,9.08,1043,0.0418502202643172,0.0703703703703704,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. While it initially manufactured its own processors, the company later outsourced its manufacturing, a practice known as going fabless, after GlobalFoundries was spun off in 2009. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications."
1043,Stora Enso,Materials,Finland,5.06,12.82,-1.26,16.41,1044,-0.07678244972577701,-0.0982839313572543,"Stora Enso Oyj (from Swedish: Stora [ˈstǔːra] and Finnish: Enso [ˈenso]) is a manufacturer of pulp, paper and other forest products, headquartered in Helsinki, Finland. The majority of sales takes place in Europe, but there are also significant operations in Asia, South America and the United States. Stora Enso was formed in 1998, when the Swedish mining and forestry products company Stora AB merged with the Finnish forestry products company Enso Oyj. In 2018, the average number of employees was 26,000. In 2015, Stora Enso was ranked seventh in the world by sales and fourth by earnings, among forest, paper and packaging industry companies. For the first two quarters of 2018, the company was ranked second by net earnings among European forest and paper industry companies. The corporate history can be traced back to the oldest known preserved share certificate in the world, issued in 1288. Based on this, some observers consider Stora Enso to be the oldest limited liability company in the world.

"
1044,Tele2,Telecommunications Services,Sweden,6.58,5.48,0.63,5.01,1045,0.125748502994012,0.114963503649635,"Tele2 AB is a European telecommunications operator headquartered in the Kista Science City, Stockholm, Sweden. It is a major telephone operator in the Nordic and Baltic countries and an alternative provider in many others, with about 17 million customers in 8 countries and under franchise in 1 additional countries.
Tele2 started as a telecommunications company in Sweden in 1993 by the company Investment AB Kinnevik.
Tele2 operates in Sweden, Estonia, Latvia, Lithuania, the Netherlands, Croatia, Russia and Germany. It previously operated in Kazakhstan but the company has since divested its licence and ownership to other companies in those markets.

"
1045,Insurance Australia Group,Insurance,Australia,7.64,6.77,0.15,15.31,1046,0.009797517962116259,0.0221565731166913,"Insurance Australia Group Limited (IAG) is a multinational insurance company headquartered in Sydney, Australia.
IAG was formed by the demutualisation of the NRMA Insurance business in July 2000 and a return of shares to the members of NRMA. According to its website, NRMA Insurance Group Limited changed its name to Insurance Australia Group Limited on 15 January 2002.  IAG is the name of the listed entity; it is not a customer-facing brand, however it represents the umbrella organization that holds many well known insurance brands.
IAG is listed on the Australian Securities Exchange and is a constituent of the S&P/ASX 50 index."
1046,Qantas Airways,Transportation,Australia,5.33,11.74,0.09,16.21,1047,0.00555212831585441,0.00766609880749574,"Jetstar Asia Airways Pte Ltd (operating as Jetstar Asia) is a low-cost airline based in Singapore. It is one of the Asian offshoots of parent Jetstar Airways, the low-cost subsidiary airline of Australia's Qantas airline. It operates services to regional destinations in Southeast Asia to countries such as Myanmar, Cambodia, Malaysia, Indonesia, Philippines, Thailand and Vietnam. It also flies to regional routes in East Asia such as Japan, Taiwan and Hong Kong. It is the main feeder airline for its parent company Jetstar Airways for budget passengers flying to Australia. Its sister airlines include Jetstar in New Zealand and Jetstar Japan."
1047,Espirito Santo Finl,Banking,Luxembourg,1.57,9.34,0.11,108.15,1048,0.0010171058714748,0.0117773019271949,NEEDS_MANUAL_SUMMARY
1048,Rockwell Collins,Aerospace & Defense,United States,9.18,4.44,0.56,4.65,1048,0.12043010752688199,0.126126126126126,"Rockwell Collins was a multinational corporation company headquartered in Cedar Rapids, Iowa providing avionics and information technology systems and services to government agencies and aircraft manufacturers. It was formed when the Collins Radio Company, facing financial difficulties, was purchased by Rockwell International in 1973. In 2001, the avionics division of Rockwell International was spun off to form the current Rockwell Collins, Inc, retaining its name.
The company was acquired by United Technologies Corporation on November 27, 2018, and now operates as part of Collins Aerospace, a subsidiary of Raytheon Technologies."
1049,NiSource,Utilities,United States,4.2,6.65,0.22,19.27,1050,0.011416709911780001,0.0330827067669173,"NiSource Inc. is one of the largest fully regulated utility companies in the United States, serving approximately 3.5 million natural gas customers and 500,000 electric customers across seven states through its local Columbia Gas and NIPSCO brands. The company, based in Merrillville, Indiana, has more than 8,000 employees. As of 2018, NiSource is the sole Indiana-based utility company.

"
1050,Ajinomoto,"Food, Drink & Tobacco",Japan,7.1,12.23,-0.11,10.57,1051,-0.010406811731315,-0.00899427636958299,"Ajinomoto Co., Inc. (味の素株式会社, Ajinomoto Kabushiki gaisha) is a Japanese food and biotechnology corporation which produces seasonings,  interlayer insulating materials for semiconductor packages for use in personal computers, cooking oils, frozen foods, beverage, sweeteners, amino acids, and pharmaceuticals. AJI-NO-MOTO (味の素, ""essence of taste"") is the trade name for the company's original monosodium glutamate (MSG) product. The corporation's head office is located in Chūō, Tokyo. As of 2019, Ajinomoto operates in 35 countries and employs an estimated 34,504 people. Its yearly revenue in 2019 is around US$10.1 billion."
1051,Celesio,Health Care Equipment & Svcs,Germany,4.97,30.4,-0.03,10.39,1051,-0.0028873917228103897,-0.000986842105263158,"McKesson Europe AG (formerly Celesio AG, previously Gehe AG), with its headquarters in Stuttgart, Germany is a leading international wholesale and retail company and provider of logistics and services in the pharmaceutical and healthcare sectors. The company had around 37,000 employees at the end of the 2019 financial year (31 March 2019) and is represented in 13 countries in Europe. In the 2019 financial year the company achieved a turnover of EUR 21.18 billion. The majority shareholder of the company is the US-based McKesson Corporation, which holds a share of 77.01%. The remaining 22.99% of shares are available on the open market. Kevin Kettler, a US citizen, has been Chairman of McKesson Europe since 1 November 2018.

"
1052,Kweichow Moutai,"Food, Drink & Tobacco",China,22.98,1.21,0.56,2.28,1053,0.245614035087719,0.462809917355372,"Kweichow Moutai Co., Ltd. is a partial publicly traded, partial state-owned enterprise in China, specializing in the production and sales of the liquor Maotai baijiu, together with the production and sale of beverage, food and packaging material, development of anti-counterfeiting technology, and research and development of relevant information technology products.As of 2021, it is the largest beverage company in the world and China's most valuable non-technology company."
1053,Strabag,Construction,Austria,2.8,17.03,0.22,13.38,1053,0.0164424514200299,0.0129183793305931,"STRABAG SE is an Austrian construction company based in Spittal an der Drau, Austria, with its headquarters in Vienna. It is the largest construction company in Austria and one of the largest construction companies in Europe. The company is active in its home markets Austria and Germany and in all countries of Central, Eastern and South-East Europe, in selected markets in Western Europe, on the Arabian Peninsula, as well as in Canada, Chile, China and India. In these markets STRABAG has subsidiaries or operates on a project-basis.

"
1054,Hong Kong & China Gas,Utilities,Hong Kong/China,14.9,1.59,0.56,6.7,1055,0.0835820895522388,0.352201257861635,"The Hong Kong and China Gas Company Limited, doing business as Towngas, is the sole provider of towngas in Hong Kong.  Founded in 1862, it is one of the oldest listed companies in the territory.

"
1055,Randstad Holding,Business Services & Supplies,Netherlands,7.17,17.76,0.1,8.6,1055,0.0116279069767442,0.00563063063063063,"Randstad NV, commonly known as Randstad and stylized as randstad, is a Dutch multinational human resource consulting firm headquartered in Diemen, Netherlands. It was founded in the Netherlands in 1960 by Frits Goldschmeding and operates in around 39 countries. In 2015, the company achieved a turnover of €19.2 billion and a net income of €518.8 million. Randstad employs around 29,000 staff. Globally, Randstad has 4,861 branches. Randstad NV is listed as RAND on the AEX of Euronext Amsterdam. Founder Frits Goldschmeding is still the biggest shareholder. The company is named after the Randstad region of the Netherlands."
1056,Community Health Sys,Health Care Equipment & Svcs,United States,3.3,12.11,0.24,14.02,1057,0.0171184022824536,0.0198183319570603,"Centene Corporation is a large publicly traded company and a multi-line managed care enterprise that serves as a major intermediary for both government-sponsored and privately insured health care programs.  It is a healthcare insurer that focuses on managed care for uninsured, underinsured, and low-income individuals.  Centene is the second-largest publicly traded corporation based in the state of  Missouri. It ranked No. 42 in the 2020 Fortune 500 list of the largest United States corporations by total revenue."
1057,Onex,Diversified Financials,Canada,3.07,23.68,0.11,24.3,1058,0.0045267489711934205,0.00464527027027027,"Onex Corporation is an investment manager founded in 1984. The firm manages capital on behalf of Onex shareholders, institutional investors and high net worth clients around the world.  As of September 30, 2020, Onex had approximately US$36.6 billion of assets under management. It invests and manages capital through four platforms: Onex Partners (private equity funds focused on larger market opportunities in North America and Europe); ONCAP (private equity funds focused on smaller and middle-market opportunities in North America); Onex Credit (invests in non-investment grade debt through various strategies); and Gluskin Sheff (a wealth manager with public equity and public credit strategies). Onex and its management teams are collectively the largest investors across Onex' investment platforms."
1058,Petro Rabigh,Oil & Gas Operations,Saudi Arabia,7.71,7.85,-0.38,13.9,1059,-0.0273381294964029,-0.0484076433121019,"Rabigh Refining & Petrochemical Company (Petro Rabigh) is a Saudi Arabia-based company which produces and markets refined hydrocarbon and petrochemicals. The company was a joint venture between Saudi Aramco and Japan’s Sumitomo Chemical which is now publicly held. It is traded on the Saudi Stock Exchange (TADAWUL:2380).
Petro Rabigh's operates a 400,000-barrel (64,000 m3) capacity refinery located in Rabigh, Saudi Arabia, which produces naphtha, kerosene, gasoline, diesel and fuel oil.The company produces 140 million barrels of petroleum products and 5 million tons of petrochemical products every year. 
The company held its initial public offering in January 2008. Ownership of the company is 37.5% to Saudi Aramco, 37.5% to Sumitomo Chemical, and 25% to the public.[1]
Construction of second phase completed in 2016 and production  began in 2017  .It is considered the first producer of many petrochemical products and the only producer of propylene oxide in the Middle East.[2]
In December 2020, the boards of directors appointed Othman Ali Al-Ghamdi as a board member and CEO, effective from Jan. 1, 2021, after the resignation of the CEO Nasser Damsheq Al-Mahasher.

"
1059,HTC,Technology Hardware & Equip,Taiwan,8.01,4.39,0.68,3.72,1060,0.18279569892473102,0.154897494305239,"HTC Corporation (traditional Chinese: 宏達國際電子股份有限公司; simplified Chinese: 宏达国际电子股份有限公司; pinyin: Hóngdá Guójì Diànzǐ Gǔfèn Yǒuxiàn Gōngsī) (High Tech Computer Corporation, literally Hongda International Electronics Co., Ltd.; trading as HTC) is a Taiwanese consumer electronics company headquartered in Xindian District, New Taipei City, Taiwan. Founded in 1997, HTC began as an original design manufacturer and original equipment manufacturer, designing and manufacturing laptop computers.After initially making smartphones based mostly on Windows Mobile, HTC became a co-founding member of the Open Handset Alliance, a group of handset manufacturers and mobile network operators dedicated to the development of the Android mobile operating system. The HTC Dream (marketed by T-Mobile in many countries as the T-Mobile G1) was the first phone on the market to run Android.
Although initially successful as a smartphone vendor, competition from Apple Inc. and Samsung Electronics, among others, diluted its market share, which reached just 7.2% by April 2015, and the company has experienced consecutive net losses. In 2016, HTC began to diversify its business beyond smartphones, having partnered with Valve to produce a virtual reality platform known as HTC Vive. After having collaborated with Google on its Pixel smartphone, HTC sold roughly half of its design and research talent, as well as non-exclusive rights to smartphone-related intellectual property, to Google in 2017 for US$1.1 billion."
1060,Kawasaki Kisen Kaisha,Transportation,Japan,2.27,12.78,0.33,9.73,1061,0.0339157245632066,0.0258215962441315,"Kawasaki Kisen Kaisha, Ltd. (川崎汽船株式会社, Kawasaki Kisen Kabushiki-gaisha, branded as ""K"" Line, stylized as ""K"" LINE) is a Japanese transportation company. It owns a fleet that includes dry cargo ships (bulk carriers), container ships, liquefied natural gas carriers, Ro-Ro ships, tankers and container terminals. It is the fourteenth largest container transportation and shipping company in the world.

"
1061,Neste Oil,Oil & Gas Operations,Finland,3.64,13.81,0.32,8.16,1062,0.0392156862745098,0.0231716147719044,"Neste Oyj (international name: Neste Corporation; former names Neste Oil Corporation and Fortum Oil and Gas Oy) is an oil refining and marketing company located in Espoo, Finland. It produces, refines and markets oil products, provides engineering services, and licenses production technologies. Neste has operations in 14 countries.Neste shares are listed on the NASDAQ OMX Helsinki Stock Exchange. As of 2020, the Government of Finland is the largest shareholder in the company, owning 35.91% of shares. In 2019, Neste was the second largest company in Finland in terms of revenue.The name ""Neste"" means ""liquid"" in Finnish.

"
1062,SNC-Lavalin Group,Construction,Canada,7.21,5.82,0.34,6.87,1063,0.04949053857350799,0.0584192439862543,"SNC-Lavalin Group Inc. is a Canadian company based in Montreal that provides engineering, procurement, and construction (EPC) services to various industries, including mining and metallurgy, oil and gas, environment and water, infrastructure, and clean power. SNC-Lavalin is the largest construction company, by revenue, in Canada, as of 2018.
The firm has over 50,000 employees worldwide, with offices in over 50 countries and operations in over 160 countries."
1063,Nippon Express,Transportation,Japan,4.39,18.78,0.16,11.87,1064,0.0134793597304128,0.00851970181043663,"Nippon Express Co., Ltd. (日本通運株式会社, Nippon Tsūun Kabushiki-gaisha, Nittsu) (TYO: 9062)  is a Japanese global logistics services company. It is based in Tokyo and listed on the Tokyo Stock Exchange under the ticker TKS(9062).
Its shareholding is dominated by banks and financial institutions mostly related to the Mizuho (Mizuho Financial Group) and Sumitomo Mitsui (SMFG) Keiretsus.
In Japan it is commonly known as 'Nittsu', and some of Nippon Express subsidiaries include 'Nittsu' in their names.

"
1064,HK Exchanges & Clearing,Diversified Financials,Hong Kong/China,18.59,0.83,0.61,5.85,1065,0.104273504273504,0.734939759036145,"Hong Kong Exchanges and Clearing Limited (HKEX; Chinese: 香港交易及結算所有限公司, also 香港交易所 or 港交所 ) operates a range of equity, commodity, fixed income and currency markets through its wholly owned subsidiaries The Stock Exchange of Hong Kong Limited (SEHK), Hong Kong Futures Exchange Limited (HKFE) and London Metal Exchange (LME).
With a total market capitalisation of over HK$47.52 trillion as of the end of December 2020, HKEX is now the world's largest exchange by market capitalisation of listed companies. As of the end of December 2020, there were 2,538 companies listed on HKEX's securities market. HKEX has been the world's top listing venue in terms of IPO funds raised in seven of the past 11 years.The Group also operates four clearing houses in Hong Kong: Hong Kong Securities Clearing Company Limited (HKSCC), HKFE Clearing Corporation Limited (HKCC), the SEHK Options Clearing House Limited (SEOCH) and OTC Clearing Hong Kong Limited (OTC Clear). HKSCC, HKCC and SEOCH provide integrated clearing, settlement, depository and nominee activities to their participants, while OTC Clear provides OTC interest rate derivatives and non-deliverable forwards clearing and settlement services to its members. HKEX provides market data through its data dissemination entity, HKEX Information Services Limited 
The Hong Kong Government is the single largest shareholder in HKEX, and has the right to appoint six of the thirteen directors to the board.

"
1065,Santos,Oil & Gas Operations,Australia,9.82,1.96,0.39,10.15,1066,0.038423645320197,0.198979591836735,"Campo Santo Productions LLC is an American video game developer based in Bellevue, Washington. Founded in September 2013 by Sean Vanaman, Jake Rodkin, Nels Anderson, and Olly Moss, the studio is best known for its debut game released in 2016, Firewatch. In April 2018, the company was acquired by Valve."
1066,Balfour Beatty,Construction,United Kingdom,2.84,14.47,0.36,8.41,1067,0.0428061831153389,0.0248790601243953,"Balfour Beatty plc () is a British multinational infrastructure group based in the United Kingdom with capabilities in construction services, support services and infrastructure investments. A constituent of the FTSE 250 Index, Balfour Beatty works across the United Kingdom, Ireland, the United States, Canada and South East Asia.
By turnover and profit, Balfour Beatty was ranked in September 2018 as the biggest construction contractor in the United Kingdom."
1067,Applied Materials,Semiconductors,United States,16.79,5.53,-0.09,10.0,1068,-0.009000000000000001,-0.0162748643761302,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.

"
1068,Adobe Systems,Software & Services,United States,18.29,2.95,0.39,7.28,1069,0.0535714285714286,0.132203389830508,"Adobe Inc. ( ə-DOH-bee) is an American multinational computer software company. Incorporated in Delaware 
and headquartered in San Jose, California, it has historically focused upon the creation of multimedia and creativity software products, with a more recent foray into digital marketing software. Adobe is best known for its Adobe Flash web software ecosystem, Photoshop image editing software, Adobe Illustrator vector graphics editor, Acrobat Reader, the Portable Document Format (PDF), and Adobe Creative Suite, as well as its successor Adobe Creative Cloud.Adobe was founded in December 1982 by John Warnock and Charles Geschke, who established the company after leaving Xerox PARC to develop and sell the PostScript page description language. In 1985, Apple Computer licensed PostScript for use in its LaserWriter printers, which helped spark the desktop publishing revolution.As of 2019, Adobe has more than 21,000 employees worldwide, about 40% of whom work in San Jose. Adobe also has major development operations in the United States in Newton, New York City, Minneapolis, Lehi, Seattle, Austin and San Francisco. It also has major development operations in Noida and Bangalore in India."
1069,Royal Caribbean,"Hotels, Restaurants & Leisure",Liberia,6.07,5.89,0.16,18.23,1070,0.00877674163466813,0.0271646859083192,"Royal Caribbean Group, formerly known as Royal Caribbean Cruises Ltd., is an American global cruise holding company incorporated in Liberia and based in Miami, Florida, US. It is the world's second-largest cruise line operator, after Carnival Corporation & plc. As of January 2021, Royal Caribbean Group fully owns three cruise lines: Royal Caribbean International, Celebrity Cruises, and Silversea Cruises. They also hold a 50% stake in TUI Cruises and the now-defunct Pullmantur Cruises and CDF Croisières de France. Previously Royal Caribbean Group also fully owned Azamara Cruises selling the cruise line to Sycamore Partners in January 2021, and 50% of Island Cruises, selling their stake to TUI Travel PLC in October 2008.

"
1070,Oji Paper,Materials,Japan,4.56,13.01,-0.06,17.12,1071,-0.0035046728971962603,-0.00461183704842429,"Oji Holdings Corporation (王子ホールディングス株式会社, Ōji Hōrudingusu Kabushiki-gaisha) is a Japanese manufacturer of paper products. In 2012 the company was the third largest company in the global forest, paper and packaging industry.
The company's stock is listed on the Tokyo Stock Exchange and the stock is constituent of the Nikkei 225 stock index."
1071,AMR,Transportation,United States,3.13,19.92,-1.47,25.44,1072,-0.0577830188679245,-0.0737951807228916,"AMR Corporation is the former name of American Airlines Group, an airline holding company based in Fort Worth, Texas, which was the parent company of American Airlines, American Eagle Airlines, AmericanConnection and Executive Airlines. AMR filed for Chapter 11 bankruptcy in November 2011, and, coinciding with their exit from Chapter 11, acquired US Airways Group on December 9, 2013 and changed their name to American Airlines Group, Inc."
1072,HAL Trust,Diversified Financials,Netherlands,6.32,4.96,0.53,6.6,1073,0.0803030303030303,0.106854838709677,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals. Northern Trust is one of the largest banking institutions in the United States and one of the oldest banks in continuous operation. As of December 31, 2018, it had $1.07 trillion in assets under management and $10.13 trillion in assets under custody. Northern Trust Corporation is incorporated in Delaware.The company has offices in 20 US states and locations across 23 countries in Canada, Europe, the Middle East, and the Asia-Pacific region. It is ranked 486th on the Fortune 1000 as of February 2019."
1073,Tencent Holdings,Software & Services,China,36.39,1.05,0.41,1.4,1073,0.29285714285714304,0.39047619047619,"Tencent Holdings Ltd., also known as Tencent, is a Chinese multinational technology conglomerate holding company. Founded in 1998, its subsidiaries globally market various Internet-related services and products, including in entertainment, artificial intelligence, and other technology. Its twin-skyscraper headquarters, Tencent Seafront Towers (also known as Tencent Binhai Mansion) are based in the Nanshan District of Shenzhen.
Tencent is the world's largest video game vendor, as well as one of the most financially valuable companies. It is among the largest social media, venture capital, and investment corporations. Its services include social network, music, web portals, e-commerce, mobile games, internet services, payment systems, smartphones, and multiplayer online games. Offerings in China include the instant messengers Tencent QQ and WeChat, and one of the largest web portals, QQ.com. It also owns the majority of Global's music services (Tencent Music Entertainment), with more than 700 million active users and 120 million paying subscribers.
The company surpassed a market value of US$500 billion in 2018, becoming the first Asian technology company to cross this valuation mark. It has since then emerged as one of Asia's most valuable companies, and among the world's top technology companies by market value. Tencent has been credited as one of the world's most innovative companies by the Boston Consulting Group and Fast Company respectively. It has stakes in over 600 companies, recently focusing on tech start-ups in Asia."
1074,Supervalu,Food Markets,United States,3.32,42.21,0.1,17.17,1075,0.0058241118229469995,0.00236910684671879,"SuperValu, Inc. is an American wholesaler and retailer of grocery products. The company, headquartered in the Minneapolis suburb of Eden Prairie, Minnesota, has been in business since 1926. It is a wholly owned subsidiary of UNFI.
On July 26, 2018, SuperValu announced that it had agreed to be purchased by Providence, RI-based United Natural Foods Inc., the largest distributor to Whole Foods Market and other natural foods stores. UNFI would pay $1.3 billion in cash and assume another $1.6 billion in SuperValu debt and liabilities. UNFI said it expects the deal to result in roughly $175 million in savings over three years and that it would divest itself of SuperValu's grocery stores.

"
1075,Cooper Industries,Capital Goods,Ireland,7.77,5.07,0.44,5.98,1076,0.0735785953177257,0.0867850098619329,"Cooper Industries was an American worldwide electrical products manufacturer headquartered in Houston, Texas. Founded in 1833, the company had seven operating divisions including Bussmann electrical and electronic fuses; Crouse-Hinds and CEAG explosion-proof electrical equipment; Halo and Metalux lighting fixtures; and Kyle and McGraw-Edison power systems products. 
In 2011, 59% of total sales were to customers in the industrial and utility end-markets and 40% of total sales were to customers outside the United States. Cooper has manufacturing facilities in 23 countries as of 2011.On November 26, 2012, it was announced that the company will be replaced in the S&P 500 index, since its takeover by Eaton Corporation."
1076,Laboratory Corp Amer,Health Care Equipment & Svcs,United States,7.77,4.69,0.54,4.84,1077,0.11157024793388401,0.115138592750533,"The S&P 500 stock market index, maintained by S&P Dow Jones Indices, comprises 505 common stocks issued by 500 large-cap companies and traded on American stock exchanges (including the 30 companies that compose the Dow Jones Industrial Average), and covers about 80 percent of the American equity market by capitalization. The index is weighted by free-float market capitalization, so more valuable companies account for relatively more of the index. The index constituents and the constituent weights are updated regularly using rules published by S&P Dow Jones Indices. Although called the S&P 500, the index contains 505 stocks because it includes two share classes of stock from 5 of its component companies.

"
1077,MediaTek,Semiconductors,Taiwan,17.64,2.75,0.58,3.01,1078,0.19269102990033202,0.210909090909091,"MediaTek Inc. (Chinese: 聯發科技股份有限公司; pinyin: Liánfā Kējì Gǔfèn Yǒuxiàn Gōngsī) is a Taiwanese fabless semiconductor company that provides chips for wireless communications, high-definition television, handheld mobile devices like smartphones and tablet computers, navigation systems, consumer multimedia products and digital subscriber line services as well as optical disc drives.Headquartered in Hsinchu, the company has 25 offices worldwide and was the third largest fabless IC designer worldwide in 2016. Mediatek was founded in 1997. The company also provides its customers with reference designs."
1078,Pitney Bowes,Business Services & Supplies,United States,4.81,5.57,0.42,8.53,1079,0.0492379835873388,0.0754039497307002,"Pitney Bowes is an American technology company most known for its postage meters and other mailing equipment and services, and with expansions into e-commerce, software, and other technologies. The company was founded by Arthur Pitney, who invented the first commercially available postage meter, and Walter Bowes as the Pitney Bowes Postage Meter Company on April 23, 1920.Pitney Bowes provides customer engagement, customer information management, global e-commerce, location intelligence, and mailing and shipping services to approximately 1 million customers in about 100 countries around the world in 2016. The company is a certified ""work-share partner"" of the United States Postal Service, and helps the agency sort and process 15 billion pieces of mail annually. Pitney Bowes has also commissioned surveys related to international e-commerce.Pitney Bowes is based in Stamford, Connecticut, and operates a 300,000-square-foot Global Technology Center for manufacturing and engineering in Danbury, Connecticut. The company has 33 operating centers throughout the United States, and additional offices in Hatfield (United Kingdom), New Delhi, and Tokyo. As of December 2016, Pitney Bowes employed approximately 14,000 people worldwide.

"
1079,PLDT-Philippine LDT,Telecommunications Services,Philippines,10.77,3.29,0.84,5.33,1080,0.157598499061914,0.25531914893617,NEEDS_MANUAL_SUMMARY
1080,Marriott International,"Hotels, Restaurants & Leisure",United States,9.76,10.91,-0.35,7.93,1081,-0.0441361916771753,-0.0320806599450046,"Marriott International, Inc. is an American multinational diversified hospitality company that manages and franchises a broad portfolio of hotels and related lodging facilities. Founded by J. Willard Marriott, the company is now led by his son, executive chairman Bill Marriott, and president and chief executive officer Arne Sorenson. Marriott International is the largest hotel chain in the world by number of available rooms. It has 30 brands with 7,484 properties in 131 countries and territories around the world, over 1,400,693 rooms (as of June 30, 2020), including 2,104 that are managed with 573,043 rooms, 5,314 that are franchised or licensed with 812,006 rooms, and 66 that are owned or leased with 15,644 rooms, plus an additional 510,000 rooms in the development pipeline, including 230,000 that were under construction, and an additional 28,000 rooms approved for development but not yet under signed contracts.It is headquartered in Bethesda, Maryland, in the Washington, D.C. metropolitan area."
1081,Doosan,Construction,South Korea,2.31,17.19,0.09,25.95,1082,0.00346820809248555,0.00523560209424084,"Doosan Group (Korean: 두산그룹; Hanja: 斗山그룹) is a South Korean multinational conglomerate company. In 2009, the company was placed 471st in the Fortune Global 500. It has been included in the Forbes Global 2000 companies from 2007. It is the parent company of Škoda Power. Doosan was ranked 4th among the ""World's Best 40 Companies 2009"" list in BusinessWeek, the U.S. economics magazine, in October 2009."
1082,GS Holdings,Diversified Financials,South Korea,3.06,32.18,0.09,18.48,1083,0.00487012987012987,0.00279676817899316,"GS Group is a South Korean conglomerate. GS comprises GS Holdings, subsidiaries & affiliates including GS Caltex, GS Retail, GS Shop, GS EPS, GS Global, GS Sports and GS E&C among others. The asset size is 65.4 trillion KRW at the end of 2019 placing GS as the 8th largest chaebol in Korea excluding the public business companies.
GS Holdings was incorporated in July 2004 and officially split from LG Group in January 2005, with the Koo family gaining full control over LG Group and the Huh family creating GS Holdings.In December 2005, the company acquired 70% of the shares of GS EPS Co., Ltd. (formerly LG Energy Co., Ltd.) from GS E&C Corporation and LG International Corp.
The Koo family retained control of the LG Group while the Huh family formed GS Holdings. Convenience stores, and other retail companies which formerly operated under the LG logo were rebranded as ""GS"", which, like ""LG"", comes from the old name, Lucky-Goldstar.

"
1083,Millicom Intl Cellular,Telecommunications Services,Luxembourg,9.29,3.37,0.85,5.99,1084,0.14190317195325503,0.252225519287834,NEEDS_MANUAL_SUMMARY
1084,Cognizant Technology,Software & Services,United States,15.02,3.28,0.53,3.34,1085,0.158682634730539,0.161585365853659,"Cognizant is an American multinational technology company that provides business consulting, information technology and outsourcing services. It is headquartered in Teaneck, New Jersey, United States. Cognizant is part of the NASDAQ-100 and trades under CTSH.  It was founded as an in-house technology unit of Dun & Bradstreet in 1994, and started serving external clients in 1996.After a series of corporate re-organizations there was an initial public offering in 1998.Cognizant had a period of fast growth during the 2000s and became a Fortune 500 company in 2011; as of 2020 it's at position 194."
1085,Brambles,Business Services & Supplies,Australia,9.03,4.37,0.49,5.1,1086,0.09607843137254901,0.112128146453089,"Jackie Todd Brambles (previously Sherry-Brambles) (born 1 March 1967), formerly known as Jakki Brambles, is a British journalist, radio DJ and television presenter.

"
