,Company,Industry,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales,description
383,CSX,Railroads,United States,27.7,10.6,1.6,28.1,383,http://www.forbes.com/companies/csx,0.0569395017793594,0.150943396226415,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. The company was established in 1980 as part of the Chessie System and Seaboard Coast Line Industries merger. The various railroads of the former Chessie System and Seaboard Coast Line Industries that are now owned by CSX Corporation were eventually merged into a single line in 1986 and it became known as CSX Transportation. CSX Corporation currently has a number of subsidiaries beyond CSX Transportation. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida. CSX is a Fortune 500 company. 

"
384,Cardinal Health,Pharmaceuticals,United States,14.2,98.6,0.9561,22.8,385,http://www.forbes.com/companies/cardinal-health,0.0419342105263158,0.00969675456389452,"Cardinal Health, Inc. is an American multinational health care services company, and the 14th highest revenue generating company in the United States. Its headquarters are based in Dublin, Ohio and Dublin, Ireland (EMEA). The company specializes in the distribution of pharmaceuticals and medical products, serving more than 100,000 locations. The company also manufactures medical and surgical products, including gloves, surgical apparel, and fluid management products. In addition, it operates the largest network of radiopharmacies in the U.S. Cardinal Health provides medical products to over 75 percent of hospitals in the United States.

"
385,Accenture,Software & Programming,Ireland,36.7,23.8,1.9,12.9,386,http://www.forbes.com/companies/accenture,0.147286821705426,0.0798319327731092,"Accenture plc is an American-Irish multinational professional services company. A Fortune Global 500 company, it reported revenues of $44.33 billion in 2020 and had 506,000 employees. In 2015, the company had about 150,000 employees in India, 48,000 in the US, and 50,000 in the Philippines. Accenture's current clients include 91 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500.On 11 July 2019, Accenture appointed Julie Sweet as their new chief executive officer. She accepted her office on 1 September 2019.It has been incorporated in Dublin, Ireland since 2009."
386,Sistema JSFC,Telecommunications services,Russia,10.2,19.6,1.7,41.8,387,http://www.forbes.com/companies/sistema-jsfc,0.0406698564593301,0.086734693877551,"AFK Sistema PAO is a large Russian conglomerate company, headed by Vladimir Yevtushenkov. In March 2020, Yevtushenkov controlled 59.2% of the shares in Sistema.Sistema has its headquarters in Moscow. The company's Global Depository Receipts (GDRs) are traded on the London Stock Exchange (ticker symbol LSE: SSA)."
387,Best Buy,Computer & Electronics Retail,United States,12.4,50.6,1.4,22.4,388,http://www.forbes.com/companies/best-buy,0.0625,0.0276679841897233,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota. It was originally founded by Richard M. Schulze and James Wheeler in 1966 as an audio specialty store called Sound of Music. In 1983, it was re-branded under its current name with an emphasis placed on consumer electronics.
Best Buy operates internationally in Canada and Mexico, and formerly operated in China until February 2011 (when the faction was merged with Five Star). The company also operated in Europe until 2012. Its subsidiaries include Geek Squad, Magnolia Audio Video, and Pacific Sales. Best Buy also operates the Best Buy Mobile and Insignia brands in North America, plus Five Star in China. Best Buy sells cellular phones from Verizon Wireless, AT&T Mobility, Sprint Corporation in the United States. In Canada, carriers include Bell Mobility, Rogers Wireless, Telus Mobility, their fighter brands, and competing smaller carriers, such as SaskTel.
Best Buy was named ""Company of the Year"" by Forbes magazine in 2004, ""Specialty Retailer of the Decade"" by Discount Store News in 2001, ranked in the Top 10 of ""America's Most Generous Corporations"" by Forbes in 2005 (based on 2004 giving), made Fortune magazine's list of ""Most Admired Companies"" in 2006, and ""The Most Sustainable Company in the United States"" by Barron's in 2019. Hubert Joly is executive chairman of Best Buy, having been succeeded as CEO by Corie Barry in June 2019. According to Yahoo! Finance, Best Buy is the largest specialty retailer in the United States consumer electronics retail industry. The company ranked No. 72 in the 2018 Fortune 500 list of the largest United States corporations by total revenue.

"
388,TransCanada,Oil & Gas Operations,Canada,27.7,8.1,1.3,46.9,389,http://www.forbes.com/companies/transcanada,0.0277185501066098,0.160493827160494,"TC Energy Corporation (formerly TransCanada Corporation) is a major North American energy company, based in Calgary, Alberta, Canada, that develops and operates energy infrastructure in Canada, the United States, and Mexico. The company operates three core businesses: Natural Gas Pipelines, Liquids Pipelines and Energy.
The Natural Gas Pipeline network includes 92,600 kilometres (57,539 miles) of gas pipeline, which transports more than 25% of North American natural gas demand. The Liquids Pipelines division includes 4,900 kilometres (3,045 miles) of oil pipeline, which ships 590,000 barrels of crude oil per day, which is about 20% of Western Canadian exports. The Energy division owns or has interests in 11 power generation facilities with combined capacity of 6,600 megawatts (MW). These power sources include nuclear and natural gas fired.The company was founded in 1951 in Calgary. TC Energy is the largest shareholder in, and owns the general partner of, TC PipeLines."
389,BP,Oil & Gas Operations,United Kingdom,141.0,297.1,-3.7,272.3,390,http://www.forbes.com/companies/bp,-0.0135879544619905,-0.0124537192864355,"BP plc (formerly The British Petroleum Company plc and BP Amoco plc) is a British multinational oil and gas company headquartered in London, England. It is one of the world's seven oil and gas ""supermajors"". It is a vertically integrated company operating in all areas of the oil and gas industry, including exploration and production, refining, distribution and marketing, power generation and trading. It also has renewable energy interests in biofuels, wind power, smart grid and solar technology.
As of 31 December 2018, BP had operations in nearly 80 countries worldwide, produced around 3.7 million barrels per day (590,000 m3/d) of oil equivalent, and had total proven reserves of 19.945 billion barrels (3.1710×109 m3) of oil equivalent. The company has around 18,700 service stations worldwide. Its largest division is BP America in the United States. In Russia, BP owns a 19.75% stake in Rosneft, the world's largest publicly traded oil and gas company by hydrocarbon reserves and production. BP has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It has secondary listings on the Frankfurt Stock Exchange and the New York Stock Exchange. In the 2020 Forbes Global 2000, BP was ranked as the 357th-largest public company in the world.BP's origins date back to the founding of the Anglo-Persian Oil Company in 1908, established as a subsidiary of Burmah Oil Company to exploit oil discoveries in Iran. In 1935, it became the Anglo-Iranian Oil Company and in 1954, adopted the name British Petroleum. In 1959, the company expanded beyond the Middle East to Alaska and it was one of the first companies to strike oil in the North Sea. British Petroleum acquired majority control of Standard Oil of Ohio in 1978. Formerly majority state-owned, the British government privatised the company in stages between 1979 and 1987. British Petroleum merged with Amoco in 1998, becoming BP Amoco plc, and acquired ARCO and Burmah Castrol in 2000, becoming BP plc in 2001. From 2003 to 2013, BP was a partner in the TNK-BP joint venture in Russia.
BP has been directly involved in several major environmental and safety incidents. Among them were the 2005 Texas City Refinery explosion, which caused the death of 15 workers and which resulted in a record-setting OSHA fine; Britain's largest oil spill, the wreck of Torrey Canyon in 1967; and the 2006 Prudhoe Bay oil spill, the largest oil spill on Alaska's North Slope, which resulted in a US$25 million civil penalty, the largest per-barrel penalty at that time for an oil spill.The 2010, Deepwater Horizon oil spill, the largest accidental release of oil into marine waters in history, which leaked about 4.9 million barrels (210 million US gal; 780,000 m3) of oil, causing severe environmental, human health, and economic consequences, and serious legal and public relations repercussions for BP. 1.8 million US gallons (43,000 bbl; 6,800 m3) of Corexit oil dispersant were used in the cleanup response, becoming the largest application of such chemicals in US history. The company pleaded guilty to 11 counts of felony manslaughter, two misdemeanors, one felony count of lying to the U.S. Congress, and agreed to pay more than $4.5 billion in fines and penalties, the largest criminal resolution in US history. On 2 July 2015, BP and five states announced an $18.7 billion settlement to be used for Clean Water Act penalties and various claims. In total, the oil spill cost to the company more than $65 billion of cleanup costs, charges and penalties.From 1988 to 2015, BP was responsible for 1.53% of global industrial greenhouse gas emissions. BP has set a goal to cut its greenhouse gas emissions to net-zero by 2050. BP plans to increase its investments in renewables 10 times and reduce oil production by 40% from current levels by 2030."
390,Michelin Group,Auto & Truck Parts,France,14.5,24.0,1.4,25.3,391,http://www.forbes.com/companies/michelin-group,0.0553359683794466,0.0583333333333333,"Michelin (; French: [miʃlɛ̃]; full name: Compagnie Générale des Établissements Michelin SCA) is a French multinational  tyre manufacturing company based in Clermont-Ferrand in the Auvergne-Rhône-Alpes région of France. It is the largest tyre manufacturer in the world before Bridgestone and larger than both Goodyear and Continental. In addition to the Michelin brand, it also owns the Kléber tyres company, Uniroyal-Goodrich Tire Company, SASCAR, Bookatable and Camso brands. Michelin is also notable for its Red and Green travel guides, its roadmaps, the Michelin stars that the Red Guide awards to restaurants for their cooking, and for its company mascot Bibendum, colloquially known as the Michelin Man.
Michelin's numerous inventions include the removable tyre, the pneurail (a tyre for rubber-tyred metros) and the radial tyre.
Michelin manufactures tyres for space shuttles, aircraft, automobiles, heavy equipment, motorcycles, and bicycles.  In 2012, the Group produced 166 million tyres at 69 facilities located in 18 countries."
391,Enbridge,Oil Services & Equipment,Canada,22.7,15.2,0.9762,30.3,391,http://www.forbes.com/companies/enbridge,0.0322178217821782,0.0642236842105263,"Enbridge Inc. is a Canadian multinational energy transportation company based in Calgary, Alberta. It focuses on the transportation, distribution and generation of energy, primarily in North America. As a transporter of energy, Enbridge operates in Canada and the United States, the longest crude oil and liquid hydrocarbons transportation system in North America. As a distributor of various fuels, it owns and operates Canada's largest natural gas distribution network, providing distribution services in Ontario, Quebec and New York State."
392,Swisscom,Telecommunications services,Switzerland,22.7,12.8,1.9,22.5,393,http://www.forbes.com/companies/swisscom,0.0844444444444444,0.1484375,"Swisscom AG is a major telecommunications provider in Switzerland. Its headquarters are located in Ittigen near Bern. The Swiss government owns 51.0 percent of Swisscom AG. According to its own published data, Swisscom holds a market share of 60% for mobile, 67% for broadband and 33% for TV telecommunication in Switzerland. Its Italian subsidiary Fastweb is attributed 16% of private clients and 29% of corporate clients share of Italian broadband and is also active in the mobile market.The Swiss telegraph network was first set up in 1852, followed by telephones in 1877. The two networks were combined with the postal service in 1920 to form the PTT (Postal Telegraph and Telephone). It struggled to develop a homegrown digital network, with the first digital exchange launched in 1986, but pioneered the NATEL A mobile service in 1978 and the GSM-based NATEL D offering a digital service in 1993. The Swiss telecommunications market was deregulated in 1997. Telecom PTT was spun off and rebranded Swisscom ahead of a partial privatisation in 1997. The present-day Swisscom owns the protected brand NATEL, which is used and known only in Switzerland.In 2001, 25% of Swisscom Mobile was sold to Vodafone. Since then, Swisscom has bought a majority stake in Italy's second-biggest telecom company Fastweb and invested in areas such as hospitality support, cloud services and billing. New services in the areas of digitisation and IT services are intended to compensate for the risk of revenue losses from the traditional core business."
393,Viacom,Broadcasting & Cable,United States,27.3,13.2,1.5,22.4,394,http://www.forbes.com/companies/viacom,0.0669642857142857,0.113636363636364,NEEDS_MANUAL_SUMMARY
394,Newmont Mining,Diversified Metals & Mining,United States,25.7,9.5,2.3,25.7,394,http://www.forbes.com/companies/newmont-mining,0.0894941634241245,0.242105263157895,"Newmont Corporation, based in Greenwood Village, Colorado, United States, is the world's largest gold mining company. Incorporated in 1921, it has ownership of gold mines in Nevada, Colorado, Ontario, Quebec, Mexico, the Dominican Republic, Australia, Ghana, Argentina, Peru, and Suriname. In addition to gold, Newmont mines copper, silver, zinc and lead.Newmont has approximately 31,600 employees and contractors worldwide, and is the only gold company in the Standard & Poor's 500."
395,Texas Instruments,Semiconductors,United States,40.3,14.0,3.2,13.4,396,http://www.forbes.com/companies/texas-instruments,0.23880597014925398,0.228571428571429,"Texas Instruments Incorporated (TI) is an American technology company headquartered in Dallas, Texas, that designs and manufactures semiconductors and various integrated circuits, which it sells to electronics designers and manufacturers globally.  It is one of the top 10 semiconductor companies worldwide based on sales volume. The company's focus is on developing analog chips and embedded processors, which account for more than 80% of its revenue. TI also produces TI digital light processing technology and education technology products including calculators, microcontrollers and multi-core processors. The company holds 45,000 patents worldwide as of 2016.Texas Instruments emerged in 1951 after a reorganization of Geophysical Service Incorporated, a company founded in 1930 that manufactured equipment for use in the seismic industry, as well as defense electronics. TI produced the world's first commercial silicon transistor in 1954, and the same year designed and manufactured the first transistor radio. Jack Kilby invented the integrated circuit in 1958 while working at TI's Central Research Labs. TI also invented the hand-held calculator in 1967, and introduced the first single-chip microcontroller  in 1970, which combined all the elements of computing onto one piece of silicon.In 1987, TI invented the digital light processing device (also known as the DLP chip), which serves as the foundation for the company's award-winning DLP technology and DLP Cinema. TI released the popular TI-81 calculator in 1990, which made it a leader in the graphing calculator industry. Its defense business was sold to Raytheon in 1997; this allowed TI to strengthen its focus on digital solutions. After the acquisition of National Semiconductor in 2011, the company had a combined portfolio of 45,000 analog products and customer design tools. In the stock market, Texas Instruments is often regarded as an indicator for the semiconductor and electronics industry as a whole, since the company's products are used in almost all electronic products."
396,Research In Motion,Communications Equipment,Canada,32.9,18.4,3.2,12.1,397,http://www.forbes.com/companies/research-in-motion,0.264462809917355,0.173913043478261,"BlackBerry Limited is a Canadian multinational company specialising in enterprise software and the Internet of things. Originally known as Research In Motion (RIM), it developed the BlackBerry brand of interactive pagers, smartphones, and tablets. It transitioned to an enterprise software and services company under Chief Executive Officer John S. Chen. Its products are used by various businesses, car makers, and government agencies. They include BlackBerry Cylance's artificial intelligence based cyber-security solutions, the BlackBerry AtHoc emergency communication system (ECS) platform; the QNX real-time operating system; and BlackBerry Enterprise Server (BlackBerry Unified Endpoint Manager), a Unified Endpoint Management (UEM) platform. BlackBerry was founded in 1984 as Research In Motion by Mike Lazaridis and Douglas Fregin. In 1992, Lazaridis hired Jim Balsillie, and Lazaridis and Balsillie served as co-CEOs until January 22, 2012, when Thorsten Heins became president and CEO. In November 2013, John S. Chen took over as CEO. His initial strategy was to subcontract manufacturing to Foxconn, and to focus on software technology. Currently, his strategy includes forming licensing partnerships with device manufacturers such as TCL Communication and unifying BlackBerry's software portfolio."
397,KB Financial Group,Investment Services,South Korea,19.3,15.3,0.46299999999999997,225.1,398,http://www.forbes.com/companies/kb-financial,0.0020568636161705897,0.0302614379084967,"KB Kookmin Bank (Korean: KB국민은행) or KB is among the four largest banks ranked by asset value in South Korea at the end of March 2014. It is the largest among banks in Korea and 60th largest in the world by 2017.Current KB Kookmin Bank was formed in Dec, 2000 between old Kookmin Bank and Housing & Commercial Bank. They were both founded by the Korean government in 1960s for special purposes. Kookmin Bank, which specially provided financial service for middle and low income consumers, was privatised in 1995. During the Asian financial crises both banks acquired other financially troubled banks. The merger of two banks was partly due to the government policy to make banks bigger and more stable. After the merger, KB acquired various companies include credit card, insurance and Brokerage firm to transform in to the financial group in 2008. In Sep, 2004, Kookmin Bank said it would restate its 2003 and 2004 earnings after a financial watchdog found the bank avoided $270 million in taxes.

"
398,Lloyds Banking Group,Major Banks,United Kingdom,66.7,96.6,-0.4992,1545.9,398,http://www.forbes.com/companies/lloyds-banking-group,-0.000322918688142829,-0.00516770186335404,"Lloyds Banking Group plc is a British financial institution formed through the acquisition of HBOS by Lloyds TSB in 2009. It is one of the UK's largest financial services organisations, with 30 million customers and 65,000 employees. The Group's heritage extends over 320 years, dating back to the founding of the Bank of Scotland by the Parliament of Scotland in 1695.The Group's headquarters are located at 25 Gresham Street in the City of London, while its registered office is on The Mound in Edinburgh. It also operates head office sites in Birmingham, Bristol, West Yorkshire and Glasgow. The Group also has extensive overseas operations in the US, Europe, the Middle East and Asia. Its headquarters for business in the European Union is in Berlin, Germany.The business operates under a number of distinct brands, including Lloyds Bank, Halifax, Bank of Scotland and Scottish Widows. Chief Executive António Horta-Osório told The Banker, ""We will keep the different brands because the customers are very different in terms of attitude"".
Lloyds Banking Group is listed on the London Stock Exchange (LSE) and is a constituent of the FTSE 100 Index. It had a market capitalisation of approximately GB£27.1 billion as of 1 December 2020 — the 19th-largest of any LSE listed company — and has a secondary listing on the New York Stock Exchange."
399,United Overseas Bank,Regional Banks,Singapore,23.0,5.2,2.1,166.9,398,http://www.forbes.com/companies/united-overseas-bank,0.0125823846614739,0.403846153846154,"United Overseas Bank Limited (commonly known as UOB; simplified Chinese: 大华银行有限公司; traditional Chinese: 大華銀行有限公司; pinyin: Dàhuá Yínháng Yǒuxìan Gōngsī) is a Singaporean multinational banking organisation headquartered in Singapore, with branches mostly found in most Southeast Asian countries. Founded in 1935 as United Chinese Bank (UCB, Chinese name the same) by Sarawak businessman Wee Kheng Chiang, the bank was set up together with a group of Chinese-born businessmen. The bank is the third largest bank in Southeast Asia by total assets.UOB provides commercial and corporate banking services, personal financial services, private banking and asset management services, as well as corporate finance, venture capital, investment, and Insurance services. It has 68 branches in Singapore and a network of more than 500 offices in 19 countries and territories in Asia Pacific, Western Europe and North America."
400,Canadian National,Railroads,Canada,34.1,8.4,2.1,25.4,401,http://www.forbes.com/companies/canadian-national,0.0826771653543307,0.25,"The Canadian National Railway (French: Canadien National) (reporting mark CN) is a Canadian Class I freight railway headquartered in Montreal, Quebec, which serves Canada and the Midwestern and Southern United States.
CN is Canada's largest railway, in terms of both revenue and the physical size of its rail network, spanning Canada from the Atlantic coast in Nova Scotia to the Pacific coast in British Columbia across approximately 20,400 route miles (32,831 km) of track. In the late 20th century, CN gained extensive capacity in the United States by taking over such railroads as the Illinois Central.
CN is a public company with 24,000 employees, and as of July 2019 it has a market cap of approximately CA$90 billion. CN was government-owned, having been a Canadian Crown corporation from its founding until being privatized in 1995. As of 2019, Bill Gates is the largest single shareholder of CN stock.From 1919 to 1960, the railway was referred to as ""Canadian National Railways"" (CNR)."
401,Ahold,Food Retail,Netherlands,15.6,39.2,1.1,19.8,402,http://www.forbes.com/companies/ahold,0.0555555555555556,0.0280612244897959,"Koninklijke Ahold Delhaize N.V., commonly known as Ahold Delhaize, is a Dutch grocery retail company. Its business format includes supermarkets, convenience stores, hypermarkets, online grocery, online non-food, drugstores, and liquor stores. Its 21 local brands employ 375,000 people at 6,500 stores in 11 countries.
Ahold Delhaize's international headquarters is in Zaandam, Netherlands. Its brands are active in the Netherlands, Belgium, the Czech Republic, Greece, Luxembourg, Romania, Serbia, and the United States. It participates in joint ventures in Indonesia and Portugal.
Ahold Delhaize shares are listed on Euronext Amsterdam and Brussels (ticker: AD). Ahold's former CEO, Dick Boer, was the CEO of Ahold Delhaize until his retirement in 2018, and Frans Muller, former CEO of Delhaize Group, became CEO after previously having served as the deputy CEO, chief integration officer and acting chief operations officer (ad interim) of Delhaize America. Operating more than 2,000 stores across 23 states, Ahold Delhaize USA is among the largest food and consumables retailers in the United States."
402,Oversea-Chinese Banking,Major Banks,Singapore,24.4,5.2,1.8,178.9,403,http://www.forbes.com/companies/oversea-chinese-bank,0.0100614868641699,0.346153846153846,"Oversea-Chinese Banking Corporation, Limited (SGX: O39) (Simplified Chinese: 华侨银行有限公司), abbreviated as OCBC Bank (华侨银行), is a multinational banking and financial services corporation headquartered in OCBC Centre, Singapore. OCBC Bank was born out of the Great Depression through the consolidation of three banks in 1932 - the Chinese Commercial Bank Limited (incorporated in 1912), the Ho Hong Bank Limited (incorporated in 1917) and the Oversea-Chinese Bank Limited (incorporated in 1919). 
OCBC Bank has assets of more than S$491.6 billion, making it the second largest bank in Southeast Asia by assets and among the larger banks in Asia-Pacific. It is also one of the world’s most highly-rated banks, with an Aa1 rating from Moody’s and AA- rating from Standard & Poor's.OCBC Bank is consistently ranked amongst the top 5 Safest Banks in the world by Global Finance Magazine. The Asian Banker named OCBC Bank Singapore's strongest bank for 2018-2019, and the 5th strongest in Asia-Pacific. The bank's global network has grown to comprise more than 570 branches and representative offices in 18 countries and regions. These include over 320 branches and offices in Indonesia under subsidiary Bank OCBC NISP, and more than 100 branches and offices in Hong Kong, China and Macao under OCBC Wing Hang Bank. OCBC Bank was awarded World's Best Bank (Asia-Pacific) in 2019 by Global Finance Magazine."
403,FirstRand,Major Banks,South Africa,15.5,8.0,1.3,110.2,404,http://www.forbes.com/companies/firstrand,0.0117967332123412,0.1625,"FirstRand Limited, also referred to as FirstRand Group is the holding company of FirstRand Bank, and is a financial services provider in South Africa. It is one of the financial services providers licensed by the Reserve Bank of South Africa, the national banking regulator."
404,Royal Bank of Scotland,Major Banks,United Kingdom,75.1,66.2,-1.6,2265.8,404,http://www.forbes.com/companies/royal-bank-of-scotland,-0.000706152352370024,-0.0241691842900302,"The Royal Bank of Scotland (Scottish Gaelic: Banca Rìoghail na h-Alba, commonly abbreviated as RBS) is a major retail and commercial bank in Scotland. It is one of the retail banking subsidiaries of NatWest Group, together with NatWest (in England and Wales) and Ulster Bank. The Royal Bank of Scotland has around 700 branches, mainly in Scotland, though there are branches in many larger towns and cities throughout England and Wales. The bank is completely separate from the fellow Edinburgh-based bank, the Bank of Scotland, which pre-dates the Royal Bank by 32 years. The Royal Bank of Scotland was established in 1724 to provide a bank with strong Hanoverian and Whig ties.Following ring-fencing of the Group's core domestic business, the bank became a direct subsidiary of NatWest Holdings in 2019. NatWest Markets comprises the Group's investment banking arm. To give it legal form, the former RBS entity was renamed NatWest Markets in 2018; at the same time Adam and Company (which held a separate PRA banking licence) was renamed The Royal Bank of Scotland, with Adam and Company continuing as an RBS private banking brand in Scotland, along the same lines as the Messrs. Drummond and Child & Co. businesses in England."
405,Femsa,Beverages,Mexico,18.6,13.7,3.3,18.1,406,http://www.forbes.com/companies/femsa,0.18232044198895,0.240875912408759,"Fomento Económico Mexicano, S.A.B. de C.V., doing business as FEMSA, is a Mexican multinational beverage and retail company headquartered in Monterrey, Mexico. It integrates the largest independent Coca-Cola bottling group in the world and the largest convenience store chain in Mexico. It is also the second largest shareholder of Heineken N.V..
FEMSA reported revenues of US$26.9 billion for 2019, making it the fifth largest company of Mexico. It has operations in Latin America mainly through bottling plants, convenience stores, drugstores, fuel stations, and third-party logistic services, and in the United States, where it participates in the jan-san distribution industry. It is well known in Mexico for its convenience store chain Oxxo, it previously owned Cuauhtémoc Moctezuma Brewery (exchanged in 2010 for a 20% stake in Heineken), and for being the owner of the C.F. Monterrey, a Mexican First-Division football team.
FEMSA has been listed  on the Mexican Stock Exchange since 1978 and on the NYSE through ADRs since 1998. It is a constituent of the IPC, the main benchmark index of the Mexican Stock Exchange, and of the S&P Latin America 40, which includes leading, blue chip companies from Latin America.

"
406,SAIC Motor,Auto & Truck Manufacturers,China,25.9,20.3,0.9656,20.0,407,http://www.forbes.com/companies/saic-motor,0.04828,0.0475665024630542,"SAIC Motor Corporation Limited (SAIC, formerly Shanghai Automotive Industry Corporation) is a Chinese state-owned automotive design and manufacturing company headquartered in Shanghai, with multinational operations. A Fortune Global 100 company and one of the ""Big Four"" state-owned Chinese automakers (along with Changan Automobile, FAW Group, and Dongfeng Motor Corporation), the company had the largest production volume of any Chinese automaker in 2014, making more than 4.5 million vehicles. Its manufacturing mix is not wholly consumer offerings, however, with as many as one million SAIC passenger vehicles being commercial vans.
SAIC traces its origins to the early years of the Chinese automobile industry in the 1940s, and SAIC was one of the few carmakers in Mao's China, making the Shanghai SH760. Currently, it participates in the oldest surviving sino-foreign car making joint venture, with Volkswagen, and in addition has had a joint venture with General Motors since 1998. SAIC products sell under a variety of brand names, including those of its joint venture partners. Two notable brands owned by SAIC itself are MG, a historic British car marque, and Roewe, one of the few domestic Chinese car brands."
407,Ebay,Internet & Catalog Retail,United States,40.1,9.2,1.8,22.0,408,http://www.forbes.com/companies/ebay,0.0818181818181818,0.195652173913043,"eBay Inc. ( EE-bay, stylized eBay) is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website. eBay was founded by Pierre Omidyar in 1995, and became a notable success story of the dot-com bubble. eBay is a multibillion-dollar business with operations in about 32 countries, as of 2019. The company manages the eBay website, an online auction and shopping website in which people and businesses buy and sell a wide variety of goods and services worldwide. The website is free to use for buyers, but sellers are charged fees for listing items after a limited number of free listings, and again when those items are sold.In addition to eBay's original auction-style sales, the website has evolved and expanded to include: instant ""Buy It Now"" shopping; shopping by Universal Product Code, ISBN, or other kind of SKU number (via Half.com, which was shut down in 2017); online classified advertisements (via Kijiji, or eBay Classifieds); online event ticket trading (via StubHub); and other services. eBay previously offered online money transfers as part of its services (via PayPal, which was a wholly owned subsidiary of eBay from 2002 to 2015).

"
408,CIC Group,Major Banks,France,7.9,16.7,1.1,337.0,409,http://www.forbes.com/companies/cic-group,0.00326409495548961,0.0658682634730539,"CIC Insurance Group Limited, commonly referred to as CIC Group, is an insurance and investment group that operates mainly in Kenya, Uganda, South Sudan and Malawi. CIC Group has a network of branches and operational subsidiaries spread across the 4 countries."
409,General Mills,Food Processing,United States,23.7,14.8,1.6,18.4,410,http://www.forbes.com/companies/general-mills,0.0869565217391304,0.108108108108108,"General Mills, Inc., is an American multinational manufacturer and marketer of branded consumer foods sold through retail stores. It is headquartered in Golden Valley, Minnesota, a suburb of Minneapolis.  Often nicknamed ""Big G"", the company markets many well-known North American brands, including Gold Medal flour, Annie's Homegrown, Betty Crocker, Yoplait, Colombo, Totino's, Pillsbury, Old El Paso, Häagen-Dazs, Cheerios, Trix, Cocoa Puffs, and Lucky Charms. Its brand portfolio includes more than 89 other leading U.S. brands and numerous category leaders around the world.

"
410,EnCana,Oil & Gas Operations,Canada,22.5,8.9,1.5,34.0,411,http://www.forbes.com/companies/encana,0.0441176470588235,0.168539325842697,"Ovintiv Inc. (former name: Encana Corporation) is a hydrocarbon exploration and production company organized in Delaware and headquartered in Denver, United States. It was founded and headquartered in Calgary, Alberta, and was the largest energy company and largest natural gas producer in Canada. The company was rebranded Ovintiv and relocated to Denver in 2019–20.

"
411,Fortum,Electric Utilities,Finland,27.1,8.4,1.7,29.3,412,http://www.forbes.com/companies/fortum,0.0580204778156997,0.202380952380952,"Fortum Oyj is a Finnish state-owned energy company focusing on the Nordic and Baltic countries, Poland, Russia and India. Fortum operates power plants, including co-generation plants, and generates and sells electricity and heat. The company also sells waste services such as recycling, reutilisation, final disposal solutions and soil remediation and environmental constructions services, and other energy-related services and products e.g. consultancy services for power plants and electric vehicle charging. Fortum is listed on the NASDAQ OMX Helsinki stock exchange.

"
412,Heineken Holding,Beverages,Netherlands,13.0,21.6,0.9639,35.0,413,http://www.forbes.com/companies/heineken-holding,0.02754,0.044625,"Heineken N.V. (Dutch pronunciation: [ˈɦɛinəkə(n)]; at times self-styled as HEINEKEN) is a Dutch brewing company, founded in 1864 by Gerard Adriaan Heineken in Amsterdam. As of 2017, Heineken owns over 165 breweries in more than 70 countries. It produces 250 international, regional, local and speciality beers and ciders and employs approximately 73,000 people.With an annual beer production of 188,300,000 hectolitres (160,500,000 US bbl) in 2015, and global revenues of 20.511 billion euro in 2015, Heineken N.V. is the number one brewer in Europe and one of the largest brewers by volume in the world. Heineken's Dutch breweries are located in Zoeterwoude, 's-Hertogenbosch and Wijlre. The original brewery in Amsterdam, closed in 1988, is preserved as a museum called Heineken Experience.
Since the merger between the two largest brewing empires in the world, Anheuser-Busch InBev and SABMiller, in October 2016, Heineken has been  the second-largest brewer in the world.

"
413,Illinois Tool Works,Other Industrial Equipment,United States,27.2,15.9,1.5,16.2,414,http://www.forbes.com/companies/illinois-tool-works,0.0925925925925926,0.0943396226415094,"Illinois Tool Works Inc. or ITW is an American Fortune 200 company that produces engineered fasteners and components, equipment and consumable systems, and specialty products.  It was founded in 1912 by Byron L. Smith and has built its growth on a 'small‐wins strategy' based on decentralization, operational excellence, simplicity, customer‐focused innovation, and acquisitions.Today, it employs approximately 45,000 people in hundreds of businesses across 53 countries, and is based in Glenview, Illinois, a suburb of Chicago, Illinois.
ITW has more than 18,000 granted and pending patent applications worldwide. The company typically ranks in the top 100 of patent issuers in the U.S."
